Date	Close	Open	High	Low	Volume	Adj Close
11/12/2015	16.57	17	17	16.57	1460	15.37
11/13/2015	16.98	16.49	16.98	16.32	5500	15.78
11/16/2015	17.25	16.81	17.25	16.81	190	16.05
11/19/2015	16.83	16.87	16.87	16.83	630	15.63
11/20/2015	16.83	16.83	16.83	16.83	240	15.63
11/23/2015	16.49	16.49	16.49	16.49	30	15.29
11/24/2015	16.57	16.57	16.57	16.57	350	15.37
11/25/2015	16.57	16.57	16.57	16.57	470	15.37
11/26/2015	17.07	16.57	17.07	16.57	1540	15.87
11/27/2015	17.77	17.25	17.77	17.25	140	16.57
11/30/2015	17.43	17.24	17.43	17.24	70	16.23
12/1/2015	17.94	17.94	17.94	17.94	50	16.74
12/2/2015	18.27	18.27	18.27	18.27	950	17.07
12/3/2015	18.7	18.49	18.7	18.49	180	17.5
12/4/2015	18.7	18.7	19.26	18.7	2830	17.5
12/7/2015	19.24	19.26	19.26	18.45	12190	18.04
12/8/2015	19.32	19.33	19.33	18.7	4450	18.12
12/9/2015	18.95	19.33	19.33	18.74	660	17.75
12/10/2015	18.93	18.93	18.93	18.39	820	17.73
12/11/2015	18.92	18.92	18.92	18.92	20	17.72
12/14/2015	19.29	18.79	19.29	18.79	900	18.09
12/15/2015	18.93	18.71	18.93	18.71	340	17.73
12/16/2015	18.7	18.37	18.7	18.37	110	17.5
12/17/2015	18.84	18.7	18.85	18.7	4720	17.64
12/18/2015	18.82	18.82	18.82	18.82	180	17.62
12/23/2015	18.82	18.81	18.82	18.81	3820	17.62
12/28/2015	18.86	18.61	18.86	18.61	870	17.66
12/29/2015	18.83	18.86	18.86	18.3	70	17.63
12/30/2015	18.68	18.27	18.68	18.27	130	17.48
12/31/2015	18.69	18.13	18.7	18.13	340	17.49
1/4/2016	18.14	18.14	18.14	18.14	40	16.94
1/5/2016	17.59	17.61	17.61	17.59	380	16.39
1/7/2016	17.43	17.43	17.43	17.09	260	16.23
1/8/2016	16.91	17.43	17.43	16.91	3220	15.71
1/11/2016	16.57	16.57	16.58	16.57	310	15.37
1/12/2016	16.9	16.32	17	16.08	3690	15.7
1/13/2016	16.89	16.89	16.89	16.89	110	15.69
1/15/2016	15.98	16.07	16.28	15.91	1080	14.78
1/18/2016	15.98	15.81	16.66	15.81	1740	14.78
1/19/2016	16.46	16.46	16.46	16.46	10	15.26
1/20/2016	15.89	15.98	15.98	15.89	2710	14.69
1/21/2016	15.98	16.44	16.44	15.98	350	14.78
1/22/2016	15.67	16.14	16.14	15.67	550	14.47
1/25/2016	15.6	15.2	15.6	15.2	23620	14.4
1/26/2016	15.62	15.6	15.62	15.13	23230	14.42
1/27/2016	15.58	15.63	15.63	15.27	1360	14.38
1/28/2016	15.53	15.3	15.54	15.27	7100	14.33
1/29/2016	15.56	15.3	15.56	15.3	310	14.36
2/1/2016	15.59	15.31	15.59	15.3	3240	14.39
2/2/2016	15.64	15.33	15.64	15.3	11720	14.44
2/3/2016	15.38	15.67	15.67	15.33	400	14.18
2/4/2016	15.81	15.67	15.81	15.67	1340	14.61
2/5/2016	15.8	15.68	15.8	15.68	90	14.6
2/8/2016	15.8	16.26	16.26	15.78	240	14.6
2/9/2016	16.15	16.15	16.15	16.15	0	14.95
2/10/2016	15.67	15.67	15.67	15.67	640	14.47
2/11/2016	16.12	16.12	16.12	16.12	10	14.92
2/12/2016	16.01	15.64	16.04	15.64	70	14.81
2/15/2016	15.54	15.55	15.55	15.54	220	14.34
2/16/2016	15.72	15.93	15.93	15.72	300	14.52
2/17/2016	15.71	15.45	15.71	15.35	960	14.51
2/18/2016	15.67	15.64	15.69	15.34	10770	14.47
2/19/2016	15.63	15.38	15.63	15.25	24680	14.43
2/22/2016	15.46	15.22	15.46	15.22	2270	14.26
2/23/2016	15.45	15.01	15.45	15	550	14.25
2/24/2016	15.45	15.45	15.63	15.21	460	14.25
2/25/2016	15.01	15.13	15.13	14.99	3660	13.81
2/26/2016	15.61	15.62	15.62	14.88	350	14.41
2/29/2016	15.3	15.3	15.3	15.3	30	14.1
3/1/2016	15.3	15.3	15.3	15.3	1900	14.1
3/2/2016	15.72	15.3	15.72	15.3	8830	14.52
3/3/2016	15.3	15.26	15.3	15.26	5530	14.1
3/4/2016	15.71	15.3	15.71	15.3	1340	14.51
3/7/2016	15.34	15.64	15.64	15.3	5960	14.14
3/8/2016	15.72	15.38	15.72	15.3	240	14.52
3/9/2016	15.38	15.7	15.7	15.38	1180	14.18
3/10/2016	15.3	15.3	15.31	15.3	1070	14.1
3/11/2016	15.47	15.46	15.47	15.3	500	14.27
3/14/2016	15.62	15.62	15.62	15.62	950	14.42
3/15/2016	15.39	15.32	15.62	15.3	5960	14.19
3/16/2016	15.64	15.69	15.69	15.63	380	14.44
3/17/2016	15.39	15.39	15.39	15.38	1610	14.19
3/18/2016	15.55	15.4	15.85	15.38	3850	14.35
3/21/2016	16.01	16.01	16.17	16.01	420	14.81
3/22/2016	16.01	15.85	16.14	15.85	1000	14.81
3/23/2016	16.36	16.23	16.41	15.76	920	15.16
3/24/2016	15.99	15.98	16.23	15.98	20	14.79
3/25/2016	15.98	16.15	16.15	15.74	320	14.78
3/28/2016	16.07	16.22	16.22	15.98	1290	14.87
3/29/2016	15.99	16.22	16.22	15.98	130	14.79
3/30/2016	15.89	15.98	15.98	15.81	1610	14.69
3/31/2016	15.55	15.82	15.82	15.55	9160	14.35
4/1/2016	15.82	15.72	15.82	15.72	1430	14.62
4/4/2016	15.65	16.01	16.01	15.65	1890	14.45
4/5/2016	15.65	15.65	15.65	15.65	210	14.45
4/6/2016	15.65	15.66	15.66	15.65	2840	14.45
4/7/2016	15.64	15.65	15.65	15.64	3060	14.44
4/8/2016	15.89	15.61	15.89	15.61	200	14.69
4/11/2016	16.15	15.64	16.15	15.64	4340	14.95
4/12/2016	16.05	16.14	16.14	15.67	670	14.85
4/13/2016	15.85	16.04	16.04	15.85	1780	14.65
4/14/2016	15.85	16.21	16.21	15.61	280	14.65
4/15/2016	15.61	15.61	15.61	15.61	140	14.41
4/18/2016	15.61	15.72	15.72	15.59	2330	14.41
4/19/2016	16.06	16.06	16.06	16.06	0	14.86
4/21/2016	15.59	16.14	16.14	15.59	250	14.39
4/22/2016	16.06	16.06	16.06	16.06	0	14.86
4/25/2016	16.01	16.05	16.05	16.01	10	14.81
4/26/2016	15.54	15.55	15.55	15.54	580	14.34
4/27/2016	15.98	15.98	15.98	15.98	10	14.78
4/28/2016	15.58	15.58	15.58	15.58	120	14.38
4/29/2016	15.26	15.58	15.58	15.26	390	14.06
5/2/2016	15.51	15.3	15.51	15.3	1140	14.31
5/3/2016	15.51	15.51	15.51	15.51	20	14.31
5/6/2016	15.3	15.3	15.3	15.3	80	14.1
5/9/2016	16.21	15.51	16.21	15.51	9130	15.01
5/10/2016	16.83	16.62	16.83	16.62	5590	15.63
