Date,Open,High,Low,Close,Div,Adj Close,Volume
9/3/2015,6.96,6.96,6.8,6.95,0.23,6.72,820
9/4/2015,6.96,6.96,6.93,6.94,0.23,6.71,180
9/7/2015,6.8,6.94,6.75,6.94,0.23,6.71,104520
9/8/2015,6.75,6.94,6.75,6.94,0.23,6.71,1080
9/9/2015,6.76,6.93,6.76,6.93,0.23,6.7,1700
9/10/2015,6.9,6.9,6.76,6.88,0.23,6.65,8900
9/11/2015,6.87,6.87,6.68,6.68,0.23,6.45,6330
9/14/2015,6.65,6.72,6.65,6.7,0.23,6.47,2090
9/15/2015,6.7,6.76,6.7,6.75,0.23,6.52,3150
9/16/2015,6.75,6.75,6.75,6.75,0.23,6.52,4280
9/17/2015,6.75,6.75,6.74,6.75,0.23,6.52,10230
9/18/2015,6.75,6.75,6.74,6.75,0.23,6.52,19300
9/21/2015,6.75,6.87,6.75,6.87,0.23,6.64,9980
9/22/2015,6.7,6.79,6.7,6.79,0.23,6.56,10
9/28/2015,6.79,6.79,6.75,6.79,0.23,6.56,990
9/29/2015,6.79,6.79,6.75,6.75,0.23,6.52,15580
9/30/2015,6.74,6.74,6.7,6.7,0.23,6.47,45290
10/1/2015,6.7,6.7,6.57,6.7,0.23,6.47,3670
10/2/2015,6.56,6.75,6.56,6.69,0.23,6.46,3830
10/5/2015,6.67,6.69,6.56,6.56,0.23,6.33,3100
10/6/2015,6.7,6.7,6.6,6.65,0.23,6.42,27430
10/7/2015,6.69,6.69,6.6,6.6,0.23,6.37,21650
10/8/2015,6.6,6.6,6.6,6.6,0.23,6.37,3630
10/9/2015,6.6,6.65,6.58,6.65,0.23,6.42,2210
10/12/2015,6.66,6.7,6.66,6.7,0.23,6.47,920
10/13/2015,6.7,6.76,6.7,6.7,0.23,6.47,24650
10/16/2015,6.56,6.57,6.56,6.57,0.23,6.34,140
10/19/2015,6.6,6.75,6.6,6.7,0.23,6.47,3440
10/20/2015,6.7,6.7,6.7,6.7,0.23,6.47,9400
10/21/2015,6.7,6.7,6.68,6.7,0.23,6.47,9700
10/22/2015,6.7,6.7,6.68,6.7,0.23,6.47,7350
10/23/2015,6.7,6.7,6.7,6.7,0.23,6.47,5500
10/26/2015,6.7,6.7,6.68,6.7,0.23,6.47,3450
10/27/2015,6.68,6.68,6.68,6.68,0.23,6.45,2040
10/28/2015,6.68,6.74,6.66,6.74,0.23,6.51,11830
10/29/2015,6.75,6.75,6.66,6.75,0.23,6.52,2160
10/30/2015,6.9,6.9,6.66,6.66,0.23,6.43,110
11/2/2015,6.66,6.77,6.54,6.77,0.23,6.54,8700
11/3/2015,6.77,6.77,6.65,6.77,0.23,6.54,390
11/4/2015,6.5,6.77,6.5,6.77,0.23,6.54,350
11/5/2015,6.65,6.77,6.65,6.77,0.23,6.54,180
11/6/2015,6.57,6.77,6.57,6.77,0.23,6.54,1180
11/10/2015,6.65,6.77,6.57,6.76,0.23,6.53,8800
11/11/2015,6.65,6.75,6.65,6.75,0.23,6.52,270
11/12/2015,6.65,6.74,6.65,6.65,0.23,6.42,12330
11/13/2015,6.65,6.72,6.65,6.72,0.23,6.49,12410
11/17/2015,6.62,6.75,6.62,6.75,0.23,6.52,10280
11/20/2015,6.57,6.75,6.55,6.75,0.23,6.52,5650
11/23/2015,6.6,6.75,6.6,6.75,0.23,6.52,2960
11/24/2015,6.75,6.75,6.75,6.75,0.23,6.52,1540
11/27/2015,6.6,6.7,6.55,6.6,0.23,6.37,5710
11/30/2015,6.5,6.6,6.5,6.6,0.23,6.37,26190
12/1/2015,6.6,6.7,6.6,6.61,0.23,6.38,8510
12/2/2015,6.68,6.75,6.68,6.75,0.23,6.52,8750
12/4/2015,6.6,6.7,6.6,6.7,0.23,6.47,2220
12/7/2015,6.65,6.65,6.65,6.65,0.23,6.42,6990
12/8/2015,6.6,6.66,6.6,6.66,0.23,6.43,520
12/9/2015,6.64,6.66,6.64,6.66,0.23,6.43,6000
12/10/2015,6.6,6.7,6.6,6.7,0.23,6.47,440
12/11/2015,6.69,6.7,6.6,6.7,0.23,6.47,28210
12/14/2015,6.7,6.75,6.7,6.75,0.23,6.52,2170
12/15/2015,6.7,6.8,6.7,6.8,0.23,6.57,9420
12/16/2015,6.7,6.7,6.7,6.7,0.23,6.47,1800
12/17/2015,6.7,6.75,6.7,6.75,0.23,6.52,1250
12/18/2015,6.61,6.79,6.61,6.79,0.23,6.56,7640
12/21/2015,6.75,6.8,6.7,6.8,0.23,6.57,8950
12/22/2015,6.7,7,6.7,6.9,0.23,6.67,#VALUE!
12/23/2015,6.7,7,6.7,7,0.23,6.77,818830
12/25/2015,6.99,7,6.99,6.99,0.23,6.76,8000
12/28/2015,6.99,7,6.98,7,0.23,6.77,205500
12/29/2015,7,7,7,7,0.23,6.77,570
12/30/2015,6.99,7,6.99,7,0.23,6.77,134090
12/31/2015,6.8,7.1,6.6,7,0.23,6.77,4030
1/4/2016,7,7,6.79,6.79,0.23,6.56,250
1/5/2016,6.99,6.99,6.79,6.99,0.23,6.76,1460
1/6/2016,7,7,7,7,0.23,6.77,200
1/7/2016,7,7,7,7,0.23,6.77,500
1/8/2016,7,7,6.99,7,0.23,6.77,2250
1/11/2016,6.8,6.99,6.8,6.99,0.23,6.76,340
1/12/2016,6.95,6.99,6.95,6.99,0.23,6.76,130
1/13/2016,6.94,6.95,6.94,6.95,0.23,6.72,7420
1/15/2016,6.95,6.99,6.75,6.97,0.23,6.74,12200
1/18/2016,6.91,6.91,6.8,6.8,0.23,6.57,8890
1/19/2016,6.8,6.9,6.77,6.77,0.23,6.54,8230
1/20/2016,6.77,6.84,6.77,6.8,0.23,6.57,6510
1/21/2016,6.74,6.84,6.74,6.84,0.23,6.61,3640
1/25/2016,6.75,6.78,6.75,6.77,0.23,6.54,8100
1/26/2016,6.75,6.75,6.75,6.75,0.23,6.52,880
1/27/2016,6.75,6.75,6.75,6.75,0.23,6.52,1410
1/28/2016,6.75,6.89,6.7,6.89,0.23,6.66,33250
1/29/2016,6.7,6.9,6.7,6.9,0.23,6.67,81400
2/1/2016,6.7,6.9,6.7,6.9,0.23,6.67,11600
2/2/2016,6.72,6.85,6.72,6.85,0.23,6.62,4070
2/3/2016,6.71,6.85,6.71,6.85,0.23,6.62,1400
2/4/2016,6.7,6.85,6.7,6.85,0.23,6.62,7650
2/8/2016,6.65,6.84,6.65,6.84,0.23,6.61,14760
2/10/2016,6.64,6.83,6.64,6.83,0.23,6.6,5640
2/11/2016,6.61,6.84,6.61,6.84,0.23,6.61,1070
2/12/2016,6.8,6.85,6.64,6.84,0.23,6.61,4830
2/15/2016,6.85,6.89,6.85,6.89,0.23,6.66,3530
2/16/2016,7,7,6.95,7,0.23,6.77,9000
2/22/2016,6.79,6.81,6.79,6.8,0.23,6.57,1410
2/23/2016,6.6,6.79,6.6,6.79,0.23,6.56,610
2/24/2016,6.6,6.8,6.6,6.8,0.23,6.57,980
2/26/2016,6.8,6.8,6.8,6.8,0.23,6.57,5000
3/1/2016,6.8,6.83,6.8,6.83,0.23,6.6,3000
3/2/2016,6.83,6.83,6.83,6.83,0.23,6.6,5000
3/3/2016,6.83,6.9,6.83,6.9,0.23,6.67,6760
3/7/2016,6.9,6.9,6.7,6.7,0.23,6.47,800
3/8/2016,6.9,6.9,6.7,6.7,0.23,6.47,38160
3/9/2016,6.8,6.8,6.8,6.8,0.23,6.57,350
3/10/2016,6.6,6.79,6.6,6.79,0.23,6.56,3890
3/11/2016,6.8,6.8,6.61,6.79,0.23,6.56,1280
3/14/2016,6.8,6.85,6.8,6.85,0.23,6.62,2720
3/15/2016,6.65,6.85,6.65,6.85,0.23,6.62,4850
3/16/2016,6.85,6.85,6.65,6.65,0.23,6.42,590
3/17/2016,6.61,6.79,6.6,6.79,0.23,6.56,4530
3/18/2016,6.72,6.82,6.72,6.82,0.23,6.59,520
3/21/2016,6.63,6.8,6.62,6.8,0.23,6.57,380
3/22/2016,6.6,6.79,6.6,6.79,0.23,6.56,4320
3/23/2016,6.6,6.79,6.6,6.79,0.23,6.56,1270
3/24/2016,6.62,6.79,6.6,6.79,0.23,6.56,1280
3/25/2016,6.7,6.8,6.7,6.8,0.23,6.57,430
3/28/2016,6.6,6.79,6.6,6.79,0.23,6.56,2320
3/30/2016,6.7,6.8,6.7,6.8,0.23,6.57,530
3/31/2016,6.78,6.85,6.78,6.84,0.23,6.61,6510
4/1/2016,6.95,6.95,6.94,6.94,0.23,6.71,700
4/6/2016,6.79,6.8,6.79,6.8,0.23,6.57,2000
4/7/2016,6.8,6.93,6.6,6.8,0.23,6.57,11590
4/8/2016,6.77,6.93,6.6,6.93,0.23,6.7,276420
4/13/2016,6.73,6.8,6.73,6.8,0.23,6.57,7710
4/14/2016,6.9,6.93,6.8,6.93,0.23,6.7,6500
4/18/2016,6.75,6.93,6.75,6.8,0.23,6.57,16800
4/19/2016,6.65,6.93,6.65,6.93,0.23,6.7,2590
4/20/2016,6.8,6.9,6.8,6.9,0.23,6.67,4000
4/21/2016,6.9,6.93,6.9,6.92,0.23,6.69,3110
4/22/2016,6.9,6.92,6.9,6.92,0.23,6.69,1020
4/25/2016,6.92,7,6.92,6.98,0.23,6.75,11510
4/27/2016,6.8,6.96,6.8,6.96,0.23,6.73,600
4/28/2016,6.9,6.98,6.9,6.9,0.23,6.67,2510
4/29/2016,6.9,6.9,6.9,6.9,0.23,6.67,390
5/3/2016,6.7,6.9,6.7,6.9,0.23,6.67,570
5/4/2016,6.9,6.9,6.7,6.9,0.23,6.67,1500
5/5/2016,6.71,6.89,6.71,6.75,0.23,6.52,1010
5/9/2016,6.75,6.95,6.75,6.95,0.23,6.72,8580
5/10/2016,6.93,7,6.93,7,0.23,6.77,5850
5/13/2016,7,7.2,6.79,7.19,0.23,6.96,7950
5/18/2016,7.1,7.1,7.1,7.1,0.23,6.87,100
5/19/2016,6.89,7.19,6.89,7.19,0.23,6.96,2120
5/20/2016,7.17,7.21,7.17,7.2,0.23,6.97,7280
5/23/2016,7.25,7.3,7.25,7.3,0.23,7.07,910
5/24/2016,7.3,7.3,7.25,7.3,0.23,7.07,3060
5/25/2016,7.3,7.3,7.3,7.3,0.23,7.07,360
6/2/2016,7.2,7.3,7.2,7.3,0.23,7.07,4000
6/3/2016,7.29,7.29,7.29,7.29,0.23,7.06,1530
6/6/2016,7.28,7.29,7.28,7.29,0.23,7.06,330
6/7/2016,7.25,7.3,7.25,7.29,0.23,7.06,580
6/8/2016,7.29,7.29,7.29,7.29,0.23,7.06,70
6/9/2016,7.24,7.29,7.24,7.29,0.23,7.06,1920
6/10/2016,6.97,7.19,6.97,7.19,0.23,6.96,950
6/13/2016,7.3,7.3,7.3,7.3,0.23,7.07,100
6/16/2016,7.09,7.3,7.09,7.29,0.23,7.06,4170
6/17/2016,7.06,7.27,7.06,7.2,0.23,6.97,3820
6/20/2016,7.15,7.15,7.15,7.15,0.23,6.92,1570
6/21/2016,6.95,7.15,6.95,7.15,0.23,6.92,2430
